vessel_id,t,lon,lat,heading,course,speed
22,1675974381499,24.78247261047364,38.2495002746582,209,209,10
22,1675974542509,24.77777099609375,38.242897033691406,209,209,10
22,1675974952914,24.76541519165039,38.2259521484375,209,209,10
22,1675975081777,24.76170539855957,38.22061920166016,208,208,10
22,1675975192976,24.758718490600582,38.216041564941406,207,207,9
22,1675975372919,24.753921508789062,38.2085189819336,206,206,10
22,1675975521360,24.74992179870605,38.20233917236328,207,207,10
22,1675975651331,24.74628448486328,38.19701766967773,208,208,10
22,1675975722657,24.744291305541992,38.194091796875,208,208,10
22,1675975811200,24.74178695678711,38.19039916992188,208,208,10
22,1675975901705,24.7392692565918,38.186641693115234,207,207,10
22,1675975981088,24.737010955810547,38.183349609375,208,208,10
22,1675976111210,24.73334503173828,38.17793273925781,208,208,10
11,1675976222125,23.832433700561523,37.62446594238281,103,103,7
22,1675976232067,24.729915618896484,38.17287063598633,208,208,10
22,1675976461204,24.72345352172852,38.16314697265625,207,207,10
22,1675976622571,24.71880340576172,38.15634536743164,208,208,10
22,1675976771911,24.714433670043945,38.15006637573242,208,208,10
22,1675976982129,24.708080291748047,38.141212463378906,209,209,10
22,1675977372632,24.696025848388672,38.12483215332031,210,210,10
22,1675977542681,24.69059181213379,38.1176986694336,211,211,10
22,1675977681027,24.686159133911133,38.111915588378906,211,211,10
11,1675977781807,23.90083312988281,37.61101531982422,103,103,7
22,1675977782936,24.68285179138184,38.10763168334961,211,211,10
22,1675977881906,24.67970085144043,38.10352325439453,211,211,10
11,1675977901831,23.90595054626465,37.61073303222656,93,93,7
22,1675978151007,24.6708984375,38.09226989746094,211,211,10
22,1675978272762,24.66702079772949,38.08725357055664,211,211,10
11,1675978701565,23.94045066833496,37.6108512878418,89,89,7
22,1675978701723,24.65299797058105,38.06940078735352,211,211,10
22,1675979051238,24.64154815673828,38.05474853515625,211,211,10
22,1675979111703,24.63959312438965,38.05221939086914,211,211,10
11,1675979221351,23.96228408813477,37.61201477050781,86,86,7
22,1675979391885,24.63021469116211,38.0404052734375,212,212,10
22,1675979462518,24.627927780151367,38.03731918334961,210,210,10
22,1675979532224,24.62582397460937,38.03422164916992,208,208,10
22,1675979642523,24.62249755859375,38.029441833496094,208,208,10
22,1675979721044,24.620105743408203,38.02599334716797,208,208,10
22,1675979862467,24.61578941345215,38.01966857910156,208,208,10
22,1675980012176,24.611129760742188,38.01290512084961,208,208,11
11,1675980041029,23.996566772460938,37.61431503295898,85,85,7
22,1675980081101,24.60894012451172,38.0097885131836,209,209,11
11,1675980240822,24.00481605529785,37.61484909057617,85,85,7
22,1675980261896,24.60337257385254,38.00161743164063,208,208,11
22,1675980341587,24.6008415222168,37.99797821044922,208,208,11
11,1675980711654,24.02495002746582,37.615516662597656,87,87,7
11,1675980972260,24.035999298095703,37.61553192138672,89,89,7
11,1675981121735,24.04203414916992,37.61553192138672,90,90,6
22,1675981611726,24.559860229492188,37.93864059448242,208,208,11
11,1675981701202,24.06458282470703,37.61613464355469,88,88,6
11,1675981772525,24.06719970703125,37.61638259887695,83,83,6
22,1675981922691,24.54924201965332,37.92416763305664,210,210,11
11,1675982172705,24.0810661315918,37.61745071411133,84,84,5
11,1675982432158,24.09018325805664,37.61773300170898,87,87,6
22,1675982441859,24.523136138916016,37.90630340576172,229,229,11
22,1675982602637,24.51509094238281,37.90102767944336,230,230,11
22,1675982682098,24.51107788085937,37.89840698242188,230,230,11
22,1675982783054,24.506160736083984,37.89509963989258,229,229,10
11,1675982912123,24.10598373413086,37.620418548583984,77,77,5
22,1675983102104,24.49105453491211,37.88467025756836,228,228,10
11,1675983142498,24.113100051879883,37.62181854248047,76,76,5
11,1675983372030,24.119882583618164,37.62386703491211,69,69,5
21,1675983422125,23.832433700561523,37.62446594238281,103,103,7
22,1675983451942,24.474580764770508,37.87358093261719,229,229,10
11,1675983532155,24.12416648864746,37.6259651184082,58,58,5
22,1675983621902,24.466472625732425,37.86839294433594,231,231,10
11,1675983652150,24.127466201782227,37.627532958984375,59,59,5
11,1675983732155,24.129716873168945,37.628684997558594,57,57,5
22,1675983742147,24.460739135742188,37.86483001708984,231,231,10
11,1675983872585,24.1337833404541,37.630767822265625,57,57,5
22,1675983961573,24.450136184692383,37.858055114746094,231,231,10
22,1675984121117,24.44254493713379,37.85293197631836,229,229,10
22,1675984361594,24.43143081665039,37.84511184692383,228,228,10
22,1675984481587,24.4259033203125,37.841217041015625,228,228,10
11,1675984510825,24.150850296020508,37.64166641235352,51,51,5
22,1675984661596,24.41754150390625,37.83551025390625,229,229,10
22,1675984751813,24.41332244873047,37.83269882202149,229,229,10
22,1675984862765,24.408132553100582,37.82927703857422,230,230,10
11,1675984952090,24.16214942932129,37.64983367919922,47,47,5
21,1675984981807,23.90083312988281,37.61101531982422,103,103,7
11,1675985082456,24.16556739807129,37.65219879150391,48,48,5
21,1675985101831,23.90595054626465,37.61073303222656,93,93,7
22,1675985152752,24.39472007751465,37.8200798034668,229,229,10
11,1675985311645,24.171499252319336,37.65633392333984,48,48,5
22,1675985401228,24.383081436157227,37.81208801269531,229,229,10
11,1675985422500,24.17449951171875,37.65831756591797,50,50,6
11,1675985521748,24.177165985107425,37.660118103027344,49,49,6
22,1675985522312,24.3774528503418,37.80813217163086,228,228,10
22,1675985691895,24.369529724121094,37.80255508422852,228,228,10
11,1675985821624,24.18494987487793,37.6651496887207,50,50,5
21,1675985901565,23.94045066833496,37.6108512878418,89,89,7
11,1675985982281,24.18931579589844,37.66791534423828,51,51,5
22,1675986012705,24.35452079772949,37.79202651977539,228,228,10
22,1675986132337,24.34882926940918,37.78812026977539,229,229,10
